,x,y,z,counter,delta
25279,-1.500104999999996,-0.0001199999999954,3.999840000000006,1000000.0,0
25284,-1.500104999999996,-0.0001199999999954,6.499815000000005,1000000.0,0
32335,1.499865000000005,-0.0001199999999954,3.999840000000006,1000000.0,0
32340,1.499865000000005,-0.0001199999999954,6.499815000000005,1000000.0,0
82903,-1.500104999999996,-0.0001199999999954,3.999840000000006,1000000.0,2
82908,-1.500104999999996,-0.0001199999999954,6.499815000000005,1000000.0,2
89959,1.499865000000005,-0.0001199999999954,3.999840000000006,1000000.0,2
89964,1.499865000000005,-0.0001199999999954,6.499815000000005,1000000.0,2
140508,-1.500104999999996,-0.5001149999999956,6.499815000000005,155315.0,4
140527,-1.500104999999996,-0.0001199999999954,3.999840000000006,1000000.0,4
140532,-1.500104999999996,-0.0001199999999954,6.499815000000005,689481.0,4
140556,-1.500104999999996,0.4998750000000047,6.499815000000005,155204.0,4
147564,1.499865000000005,-0.5001149999999956,6.499815000000005,155315.0,4
147583,1.499865000000005,-0.0001199999999954,3.999840000000006,1000000.0,4
147588,1.499865000000005,-0.0001199999999954,6.499815000000005,689481.0,4
147612,1.499865000000005,0.4998750000000047,6.499815000000005,155204.0,4
198127,-1.500104999999996,-0.5001149999999956,3.999840000000006,39421.0,6
198132,-1.500104999999996,-0.5001149999999956,6.499815000000005,270126.0,6
198151,-1.500104999999996,-0.0001199999999954,3.999840000000006,920634.0,6
198156,-1.500104999999996,-0.0001199999999954,6.499815000000005,459419.0,6
198175,-1.500104999999996,0.4998750000000047,3.999840000000006,39945.0,6
198180,-1.500104999999996,0.4998750000000047,6.499815000000005,270455.0,6
205183,1.499865000000005,-0.5001149999999956,3.999840000000006,39421.0,6
205188,1.499865000000005,-0.5001149999999956,6.499815000000005,270126.0,6
205207,1.499865000000005,-0.0001199999999954,3.999840000000006,920634.0,6
205212,1.499865000000005,-0.0001199999999954,6.499815000000005,459419.0,6
205231,1.499865000000005,0.4998750000000047,3.999840000000006,39945.0,6
205236,1.499865000000005,0.4998750000000047,6.499815000000005,270455.0,6
255751,-1.500104999999996,-0.5001149999999956,3.999840000000006,154582.0,8
255756,-1.500104999999996,-0.5001149999999956,6.499815000000005,327452.0,8
255775,-1.500104999999996,-0.0001199999999954,3.999840000000006,690424.0,8
255780,-1.500104999999996,-0.0001199999999954,6.499815000000005,345086.0,8
255799,-1.500104999999996,0.4998750000000047,3.999840000000006,154994.0,8
255804,-1.500104999999996,0.4998750000000047,6.499815000000005,327462.0,8
262807,1.499865000000005,-0.5001149999999956,3.999840000000006,154582.0,8
262812,1.499865000000005,-0.5001149999999956,6.499815000000005,327452.0,8
262831,1.499865000000005,-0.0001199999999954,3.999840000000006,690424.0,8
262836,1.499865000000005,-0.0001199999999954,6.499815000000005,345086.0,8
262855,1.499865000000005,0.4998750000000047,3.999840000000006,154994.0,8
262860,1.499865000000005,0.4998750000000047,6.499815000000005,327462.0,8
313356,-1.500104999999996,-1.0001099999999958,6.499815000000005,85030.0,10
313375,-1.500104999999996,-0.5001149999999956,3.999840000000006,223603.0,10
313380,-1.500104999999996,-0.5001149999999956,6.499815000000005,276824.0,10
313399,-1.500104999999996,-0.0001199999999954,3.999840000000006,552112.0,10
313404,-1.500104999999996,-0.0001199999999954,6.499815000000005,275777.0,10
313423,-1.500104999999996,0.4998750000000047,3.999840000000006,224285.0,10
313428,-1.500104999999996,0.4998750000000047,6.499815000000005,277184.0,10
313452,-1.500104999999996,0.9998700000000048,6.499815000000005,85185.0,10
320412,1.499865000000005,-1.0001099999999958,6.499815000000005,85030.0,10
320431,1.499865000000005,-0.5001149999999956,3.999840000000006,223603.0,10
320436,1.499865000000005,-0.5001149999999956,6.499815000000005,276824.0,10
320455,1.499865000000005,-0.0001199999999954,3.999840000000006,552112.0,10
320460,1.499865000000005,-0.0001199999999954,6.499815000000005,275777.0,10
320479,1.499865000000005,0.4998750000000047,3.999840000000006,224285.0,10
320484,1.499865000000005,0.4998750000000047,6.499815000000005,277184.0,10
320508,1.499865000000005,0.9998700000000048,6.499815000000005,85185.0,10
370980,-1.500104999999996,-1.0001099999999958,6.499815000000005,154260.0,12
370999,-1.500104999999996,-0.5001149999999956,3.999840000000006,269363.0,12
371004,-1.500104999999996,-0.5001149999999956,6.499815000000005,230297.0,12
371023,-1.500104999999996,-0.0001199999999954,3.999840000000006,459832.0,12
371028,-1.500104999999996,-0.0001199999999954,6.499815000000005,229867.0,12
371047,-1.500104999999996,0.4998750000000047,3.999840000000006,270805.0,12
371052,-1.500104999999996,0.4998750000000047,6.499815000000005,230755.0,12
371076,-1.500104999999996,0.9998700000000048,6.499815000000005,154821.0,12
378036,1.499865000000005,-1.0001099999999958,6.499815000000005,154260.0,12
378055,1.499865000000005,-0.5001149999999956,3.999840000000006,269363.0,12
378060,1.499865000000005,-0.5001149999999956,6.499815000000005,230297.0,12
378079,1.499865000000005,-0.0001199999999954,3.999840000000006,459832.0,12
378084,1.499865000000005,-0.0001199999999954,6.499815000000005,229867.0,12
378103,1.499865000000005,0.4998750000000047,3.999840000000006,270805.0,12
378108,1.499865000000005,0.4998750000000047,6.499815000000005,230755.0,12
378132,1.499865000000005,0.9998700000000048,6.499815000000005,154821.0,12
428580,-1.500104999999996,-1.500104999999996,6.499815000000005,2769.0,14
428604,-1.500104999999996,-1.0001099999999958,6.499815000000005,200495.0,14
428623,-1.500104999999996,-0.5001149999999956,3.999840000000006,302679.0,14
428628,-1.500104999999996,-0.5001149999999956,6.499815000000005,198230.0,14
428647,-1.500104999999996,-0.0001199999999954,3.999840000000006,394272.0,14
428652,-1.500104999999996,-0.0001199999999954,6.499815000000005,196995.0,14
428671,-1.500104999999996,0.4998750000000047,3.999840000000006,303049.0,14
428676,-1.500104999999996,0.4998750000000047,6.499815000000005,197570.0,14
428700,-1.500104999999996,0.9998700000000048,6.499815000000005,201000.0,14
428724,-1.500104999999996,1.499865000000005,6.499815000000005,2941.0,14
435636,1.499865000000005,-1.500104999999996,6.499815000000005,2769.0,14
435660,1.499865000000005,-1.0001099999999958,6.499815000000005,200495.0,14
435679,1.499865000000005,-0.5001149999999956,3.999840000000006,302679.0,14
435684,1.499865000000005,-0.5001149999999956,6.499815000000005,198230.0,14
435703,1.499865000000005,-0.0001199999999954,3.999840000000006,394272.0,14
435708,1.499865000000005,-0.0001199999999954,6.499815000000005,196995.0,14
435727,1.499865000000005,0.4998750000000047,3.999840000000006,303049.0,14
435732,1.499865000000005,0.4998750000000047,6.499815000000005,197570.0,14
435756,1.499865000000005,0.9998700000000048,6.499815000000005,201000.0,14
435780,1.499865000000005,1.499865000000005,6.499815000000005,2941.0,14
486204,-1.500104999999996,-1.500104999999996,6.499815000000005,65099.0,16
486228,-1.500104999999996,-1.0001099999999958,6.499815000000005,175359.0,16
486247,-1.500104999999996,-0.5001149999999956,3.999840000000006,327036.0,16
486252,-1.500104999999996,-0.5001149999999956,6.499815000000005,173163.0,16
486271,-1.500104999999996,-0.0001199999999954,3.999840000000006,346314.0,16
486276,-1.500104999999996,-0.0001199999999954,6.499815000000005,173003.0,16
486295,-1.500104999999996,0.4998750000000047,3.999840000000006,326650.0,16
486300,-1.500104999999996,0.4998750000000047,6.499815000000005,173528.0,16
486324,-1.500104999999996,0.9998700000000048,6.499815000000005,174913.0,16
486348,-1.500104999999996,1.499865000000005,6.499815000000005,64935.0,16
493260,1.499865000000005,-1.500104999999996,6.499815000000005,65099.0,16
493284,1.499865000000005,-1.0001099999999958,6.499815000000005,175359.0,16
493303,1.499865000000005,-0.5001149999999956,3.999840000000006,327036.0,16
493308,1.499865000000005,-0.5001149999999956,6.499815000000005,173163.0,16
493327,1.499865000000005,-0.0001199999999954,3.999840000000006,346314.0,16
493332,1.499865000000005,-0.0001199999999954,6.499815000000005,173003.0,16
493351,1.499865000000005,0.4998750000000047,3.999840000000006,326650.0,16
493356,1.499865000000005,0.4998750000000047,6.499815000000005,173528.0,16
493380,1.499865000000005,0.9998700000000048,6.499815000000005,174913.0,16
493404,1.499865000000005,1.499865000000005,6.499815000000005,64935.0,16
543828,-1.500104999999996,-1.500104999999996,6.499815000000005,113226.0,18
543847,-1.500104999999996,-1.0001099999999958,3.999840000000006,33724.0,18
543852,-1.500104999999996,-1.0001099999999958,6.499815000000005,155995.0,18
543871,-1.500104999999996,-0.5001149999999956,3.999840000000006,312553.0,18
543876,-1.500104999999996,-0.5001149999999956,6.499815000000005,154158.0,18
543895,-1.500104999999996,-0.0001199999999954,3.999840000000006,307092.0,18
543900,-1.500104999999996,-0.0001199999999954,6.499815000000005,153375.0,18
543919,-1.500104999999996,0.4998750000000047,3.999840000000006,312606.0,18
543924,-1.500104999999996,0.4998750000000047,6.499815000000005,154041.0,18
543943,-1.500104999999996,0.9998700000000048,3.999840000000006,34025.0,18
543948,-1.500104999999996,0.9998700000000048,6.499815000000005,155654.0,18
543972,-1.500104999999996,1.499865000000005,6.499815000000005,113551.0,18
550884,1.499865000000005,-1.500104999999996,6.499815000000005,113226.0,18
550903,1.499865000000005,-1.0001099999999958,3.999840000000006,33724.0,18
550908,1.499865000000005,-1.0001099999999958,6.499815000000005,155995.0,18
550927,1.499865000000005,-0.5001149999999956,3.999840000000006,312553.0,18
550932,1.499865000000005,-0.5001149999999956,6.499815000000005,154158.0,18
550951,1.499865000000005,-0.0001199999999954,3.999840000000006,307092.0,18
550956,1.499865000000005,-0.0001199999999954,6.499815000000005,153375.0,18
